id,name,nid,pid,status
1,北京,beijing,0,1
2,北京市,beijingshi,1,1
4,西城区,xichengqu,2,1
5,崇文区,chongwenqu,2,1
6,宣武区,xuanwuqu,2,1
7,朝阳区,chaoyangqu,2,1
8,丰台区,fengtaiqu,2,1
9,石景山区,shijingshanqu,2,1
10,海淀区,haidianqu,2,1
12,房山区,fangshanqu,2,1
13,通州区,tongzhouqu,2,1
14,顺义区,shunyiqu,2,1
15,昌平区,changpingqu,2,1
16,大兴区,daxingqu,2,1
17,怀柔区,huairouqu,2,1
18,平谷区,pingguqu,2,1
19,密云县,miyunxian,2,1
20,延庆县,yanqingxian,2,1
21,天津,tianjin,0,1
22,天津市,tianjinshi,21,1
23,和平区,hepingqu,22,1
24,河东区,hedongqu,22,1
25,河西区,hexiqu,22,1
26,南开区,nankaiqu,22,1
27,河北区,hebeiqu,22,1
28,红桥区,hongqiaoqu,22,1
29,塘沽区,tangguqu,22,1
30,汉沽区,hanguqu,22,1
31,大港区,dagangqu,22,1
32,东丽区,dongliqu,22,1
33,西青区,xiqingqu,22,1
34,津南区,jinnanqu,22,1
35,北辰区,beichenqu,22,1
36,武清区,wuqingqu,22,1
37,宝坻区,baoqu,22,1
38,静海县,jinghaixian,22,1
39,蓟县,jixian,22,1
40,上海,shanghai,0,1
41,上海市,shanghaishi,40,1
42,黄浦区,huangpuqu,41,1
43,卢湾区,luwanqu,41,1
44,徐汇区,xuhuiqu,41,1
45,长宁区,changningqu,41,1
46,静安区,jinganqu,41,1
47,普陀区,putuoqu,41,1
48,闸北区,zhabeiqu,41,1
49,虹口区,hongkouqu,41,1
50,杨浦区,yangpuqu,41,1
51,闵行区,xingqu,41,1
52,宝山区,baoshanqu,41,1
53,嘉定区,jiadingqu,41,1
54,浦东新区,pudongxinqu,41,1
55,金山区,jinshanqu,41,1
56,松江区,songjiangqu,41,1
57,青浦区,qingpuqu,41,1
58,南汇区,nanhuiqu,41,1
59,奉贤区,fengxianqu,41,1
60,崇明县,chongmingxian,41,1
61,重庆,zhongqing,0,1
62,重庆市,zhongqingshi,61,1
63,万州区,wanzhouqu,62,1
64,涪陵区,fulingqu,62,1
65,渝中区,yuzhongqu,62,1
66,大渡口区,dadukouqu,62,1
67,江北区,jiangbeiqu,62,1
68,沙坪坝区,shapingbaqu,62,1
69,九龙坡区,jiulongpoqu,62,1
70,南岸区,nananqu,62,1
71,北碚区,beiqu,62,1
